order,priority,rodina_datasetu,dataset_id,dataset_title,source_kind,source_code,source_title,selected_file,selected_sheet,selected_format,status,row_count,column_count,column_names,time_columns,years_min,years_max,years_count,years_sample,years_source,frequency_catalog,start_catalog,end_catalog,hlavni_skupina,detailni_skupina,uzemni_uroven_x,zdroj_typ,page,preview_csv,error,profile_years,has_target_years_profile,head_columns,has_pk_from_head,pk_from_head,profile_ok,title,relevance_pro_IKZ,uzemni_uroven_y,in_final_manifest
2,A,Obyvatelstvo a domy v obcích podle výsledků sčítání od roku,170240-17,Obyvatelstvo a domy v obcích podle výsledků sčítání od roku 1869,LKOD,resource#1,{'cs': 'Obyvatelstvo a domy v obcích podle výsledků sčítání'},OD_SLDB_HD_at.csv,,zip->csv,OK_LKOD,175081.0,15.0,"﻿""idhod"", hodnota, stapro_kod, stapro_txt, rok, datum, vuzemi_cis, vuzemi_kod, vuzemi_txt, so_orp, so_orp_text, okres, okres_text, kraj, kraj_text","stapro_kod, rok, datum",1869.0,2011.0,14.0,"1869, 1880, 1890, 1900, 1910, 1921 ... 1961, 1970, 1980, 1991, 2001, 2011",data_columns,desetileté / census [R/P10Y],,2011-03-26,Demografie a populace,základní lokální přehled obyvatel a bydlení,obec,běžná statistika ČSÚ,https://csu.gov.cz/docs/107516/9378b376-1a8c-a995-c2a2-aa83cd1349e6/170240-17dds.pdf,heads_csv\002_170240-17_Obyvatelstvo_a_domy_v_obcich_podle_vysledku_scitani_od_roku_1869.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `OD_SLDB_HD_at.csv`.,"{2001, 2011, 1991}",False,"{'okres_text', 'kraj', 'vuzemi_cis', 'kraj_text', 'stapro_kod', 'hodnota', 'datum', 'vuzemi_kod', 'vuzemi_txt', 'so_orp', 'so_orp_text', 'rok', 'okres', 'idhod', 'stapro_txt'}",True,vuzemi_kod,True,Obyvatelstvo a domy v obcích podle výsledků sčítání od roku 1869,jádrová pro IKŽ,obec,False
3,A,Obyvatelstvo v základních sídelních jednotkách podle výsledků sčítání,170241-17,Obyvatelstvo v základních sídelních jednotkách podle výsledků sčítání 2011,LKOD,resource#1,{'cs': 'Obyvatelstvo v základních sídelních jednotkách podle výsledků sčítání 2011'},OD_SLD_ZSJD.csv,,zip->csv,OK_LKOD,21743.0,9.0,"idhod, hodnota, stapro_kod, stapro_txt, datum, zsjd_kod, zsjd_txt, obec_kod, obec_txt","stapro_kod, datum",2011.0,2011.0,1.0,2011,data_columns,jednorázové / snapshot [NEVER],2011-03-26,2011-03-26,Demografie a populace,základní populační stav,podobecní úroveň (část obce/ZSJ),SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/5de62523-0188-3419-1d23-4d2b4a70947e/170241-17dds.pdf,heads_csv\003_170241-17_Obyvatelstvo_v_zakladnich_sidelnich_jednotkach_podle_vysledku_scitani_2011.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `OD_SLD_ZSJD.csv`.,{2011},False,"{'zsjd_kod', 'stapro_kod', 'hodnota', 'datum', 'obec_txt', 'zsjd_txt', 'obec_kod', 'idhod', 'stapro_txt'}",True,obec_kod,True,Obyvatelstvo v základních sídelních jednotkách podle výsledků sčítání 2011,jádrová pro IKŽ,podobecní úroveň (část obce/ZSJ),False
39,B,Výběr údajů ze SLDB 2011 za domy a byty,sldbdomy,Výběr údajů ze SLDB 2011 za domy a byty,LKOD,resource#1,{'cs': 'Domy a byty'},SLDB_DOMYBYTY.CSV,,zip->csv,OK_LKOD,6712.0,92.0,"typuz_naz, nazev, uzcis, uzkod, vse7111, vse7112, vse7113, vse7114, vse7121, vse7122, vse7123, vse7124, vse7131, vse7132, vse7133 ...",,,,,,,desetileté / census [R/P10Y],2011-03-26,2011-03-26,Bydlení a technická infrastruktura,byty a kvalita bydlení,více úrovní (ČR–kraj–okres–obec),SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/67827fbf-a0d5-2564-d198-496b1fda8b98/SLDB_BYTY.htm,heads_csv\039_sldbdomy_Vyber_udaju_ze_SLDB_2011_za_domy_a_byty.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `SLDB_DOMYBYTY.CSV`.,{2011},False,"{'vse8172', 'vse7192', 'vse7183', 'vse71102', 'vse8114', 'vse8143', 'vse8161', 'vse8144', 'vse7142', 'vse8134', 'vse8141', 'vse7131', 'vse7152', 'vse71101', 'vse7124', 'vse7113', 'vse8164', 'vse7114', 'vse8162', 'vse71114', 'vse7193', 'vse7121', 'vse7164', 'vse71123', 'vse8112', 'vse7151', 'vse7112', 'vse8133', 'vse71122', 'vse7122', 'vse8111', 'vse7182', 'vse8163', 'vse7154', 'vse7111', 'vse7141', 'vse8192', 'vse71104', 'vse8194', 'vse7171', 'vse8124', 'vse8122', 'vse8121', 'vse7161', 'vse7153', 'vse8132', 'vse7172', 'vse8183', 'vse7184', 'vse81104', 'vse8152', 'vse71111', 'vse8181', 'uzcis', 'vse8171', 'vse7133', 'vse7163', 'vse7134', 'vse7143', 'vse7132', 'vse7181', 'vse71113', 'vse8154', 'typuz_naz', 'vse7194', 'vse8153', 'vse71124', 'vse7162', 'nazev', 'vse71121', 'vse71103', 'vse8142', 'vse8174', 'vse71112', 'vse8184', 'vse8191', 'uzkod', 'vse7144', 'vse81101', 'vse8113', 'vse81102', 'vse7174', 'vse8193', 'vse7123', 'vse8182', 'vse8131', 'vse8151', 'vse7173', 'vse8123', 'vse8173', 'vse81103', 'vse7191'}",False,,True,Výběr údajů ze SLDB 2011 za domy a byty,jádrová pro IKŽ,více úrovní (ČR–kraj–okres–obec),False
81,B,Výběr údajů ze SLDB 2011 za obyvatelstvo,SLDB-VYBER,Výběr údajů ze SLDB 2011 za obyvatelstvo,LKOD,resource#1,{'cs': 'Obyvatelstvo'},SLDB_OBYVATELSTVO.CSV,,zip->csv,OK_LKOD,6712.0,175.0,"typuz_naz, nazev, uzcis, uzkod, vse1111, vse1112, vse1113, vse1121, vse1122, vse1123, vse1131, vse1132, vse1133, vse1141, vse1142 ...",,,,,,,desetileté / census [R/P10Y],2011-03-26,2011-03-26,Demografie a populace,základní populační stav,více úrovní (ČR–kraj–okres–obec),SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/55859845-7a0c-356f-d15d-63f80c2b5cc3/SLDB_OBYVATELSTVO.htm,heads_csv\081_SLDB-VYBER_Vyber_udaju_ze_SLDB_2011_za_obyvatelstvo.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `SLDB_OBYVATELSTVO.CSV`.,{2011},False,"{'vse3171', 'vse4162', 'vse3142', 'vse4142', 'vse5163', 'vse5113', 'vse6151', 'vse31111', 'vse6113', 'vse61123', 'vse5111', 'vse41112', 'vse5191', 'vse3131', 'vse31113', 'vse2131', 'vse2152', 'vse1131', 'vse4122', 'vse6183', 'vse2161', 'vse4111', 'vse2183', 'vse3161', 'vse5122', 'vse3113', 'vse51101', 'vse3192', 'vse4171', 'vse41101', 'vse5131', 'vse1112', 'vse5152', 'vse2173', 'vse41111', 'vse41102', 'vse6192', 'vse6181', 'vse31103', 'vse61101', 'vse3121', 'vse6191', 'vse6182', 'vse31101', 'vse6111', 'vse4112', 'vse4131', 'vse5133', 'vse6173', 'vse3181', 'vse1132', 'vse4161', 'vse3143', 'vse2123', 'vse5141', 'vse4152', 'vse5193', 'vse6143', 'vse5182', 'vse1111', 'vse61111', 'vse4153', 'vse4192', 'vse3182', 'vse31112', 'vse5183', 'vse2111', 'vse4191', 'vse3183', 'vse5132', 'vse4143', 'vse2122', 'vse6171', 'vse5142', 'vse2143', 'vse4181', 'vse1123', 'vse3162', 'vse4141', 'vse5121', 'vse61121', 'vse6122', 'vse6161', 'vse3123', 'vse6131', 'vse1133', 'vse4113', 'vse5171', 'vse61113', 'vse2151', 'vse2163', 'vse61122', 'vse2142', 'vse2181', 'vse3172', 'uzcis', 'vse5172', 'vse6152', 'vse5112', 'vse4133', 'vse3193', 'vse3173', 'vse2171', 'vse51103', 'vse6121', 'vse5123', 'vse2162', 'vse1141', 'vse1151', 'vse1121', 'vse3151', 'vse2153', 'vse6163', 'vse3133', 'vse3141', 'vse4123', 'vse3163', 'typuz_naz', 'vse6141', 'vse1113', 'vse1143', 'vse2112', 'vse2132', 'nazev', 'vse4182', 'vse6142', 'vse41103', 'vse2121', 'vse3152', 'vse5181', 'vse61102', 'vse5153', 'vse3153', 'vse5143', 'vse3112', 'vse4172', 'vse4173', 'vse4151', 'vse1142', 'vse4132', 'vse51102', 'vse3191', 'vse6123', 'uzkod', 'vse6132', 'vse3132', 'vse2172', 'vse6172', 'vse4121', 'vse6193', 'vse6153', 'vse5151', 'vse5162', 'vse6133', 'vse6112', 'vse5161', 'vse61103', 'vse1122', 'vse4163', 'vse6162', 'vse31102', 'vse2133', 'vse1153', 'vse1152', 'vse2113', 'vse2182', 'vse4183', 'vse41113', 'vse61112', 'vse2141', 'vse5192', 'vse3122', 'vse5173', 'vse4193', 'vse3111'}",False,,True,Výběr údajů ze SLDB 2011 za obyvatelstvo,jádrová pro IKŽ,více úrovní (ČR–kraj–okres–obec),False
89,B,Výběr údajů ze SLDB 2011 za vyjížďku,sldbvyjizdka,Výběr údajů ze SLDB 2011 za vyjížďku,LKOD,resource#1,{'cs': 'Vyjížďka'},SLDB_VYJIZDKA.CSV,,zip->csv,OK_LKOD,6712.0,14.0,"typuz_naz, nazev, uzcis, uzkod, vse9111, vse9121, vse9131, vse9141, vse9151, vse9161, vse9171, vse9181, vse9191, vse91101",,,,,,,desetileté / census [R/P10Y],2011-03-26,2011-03-26,Mobilita a dostupnost,dojížďka do zaměstnání,více úrovní (ČR–kraj–okres–obec),SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/ea9ce708-a0f1-81c1-dc9a-63e7933f4479/SLDB_VYJIZDKA.htm,heads_csv\089_sldbvyjizdka_Vyber_udaju_ze_SLDB_2011_za_vyjizdku.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `SLDB_VYJIZDKA.CSV`.,{2011},False,"{'vse9151', 'vse9171', 'vse91101', 'vse9161', 'typuz_naz', 'vse9121', 'vse9191', 'uzcis', 'vse9131', 'vse9141', 'vse9181', 'uzkod', 'nazev', 'vse9111'}",False,,True,Výběr údajů ze SLDB 2011 za vyjížďku,jádrová pro IKŽ,více úrovní (ČR–kraj–okres–obec),False
104,B,"Základní výsledky Sčítání lidu, domů a bytů",sldb2011_zakladni,"Základní výsledky Sčítání lidu, domů a bytů 2011",LKOD,resource#1,{'cs': 'Základní výsledky - CSV soubor'},ds_sldb2011_zakladni.csv,,csv,OK_LKOD,6712.0,15.0,"typuz_naz, nazev, uzcis, uzkod, u01, u02, u03, u04, u05, u06, u07, u08, u09, u10, u11",,,,,,,desetileté / census [R/P10Y],2011-03-26,2011-03-26,Průřezové datové balíky,základní census přehled,více úrovní (ČR–kraj–okres–obec),SLDB 2011 / historické sčítání,https://www.czso.cz/csu/czso/otevrena_data_pro_vysledky_scitani_lidu_domu_a_bytu_2011_sldb_2011,heads_csv\104_sldb2011_zakladni_Zakladni_vysledky_Scitani_lidu_domu_a_bytu_2011.csv,,{2011},False,"{'u09', 'u08', 'u10', 'u02', 'u03', 'typuz_naz', 'uzcis', 'u06', 'u01', 'u07', 'u04', 'uzkod', 'u05', 'nazev', 'u11'}",False,,True,"Základní výsledky Sčítání lidu, domů a bytů 2011",jádrová pro IKŽ,více úrovní (ČR–kraj–okres–obec),False
116,B,Výběr údajů ze SLDB 2011 za domácnosti,sldbdomac,Výběr údajů ze SLDB 2011 za domácnosti,LKOD,resource#1,{'cs': 'Domácnosti'},SLDB_DOMACNOSTI.CSV,,zip->csv,OK_LKOD,6712.0,13.0,"typuz_naz, nazev, uzcis, uzkod, vse10111, vse10121, vse10131, vse10141, vse10151, vse10161, vse10171, vse10181, vse10191",,,,,,,desetileté / census [R/P10Y],2011-03-26,2011-03-26,"Vzdělávání, domácnosti a digitální vybavenost",struktura domácností,více úrovní (ČR–kraj–okres–obec),SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/3151dee8-4277-15b7-3fc2-97417ed44bf9/SLDB_DOMACNOSTI.htm,heads_csv\116_sldbdomac_Vyber_udaju_ze_SLDB_2011_za_domacnosti.csv,Archiv obsahuje 1 čitelných souborů; profilován byl vybraný soubor `SLDB_DOMACNOSTI.CSV`.,{2011},False,"{'vse10171', 'vse10191', 'vse10141', 'vse10181', 'typuz_naz', 'vse10111', 'uzcis', 'vse10131', 'vse10121', 'vse10151', 'uzkod', 'nazev', 'vse10161'}",False,,True,Výběr údajů ze SLDB 2011 za domácnosti,jádrová pro IKŽ,více úrovní (ČR–kraj–okres–obec),False
117,B,Naděje dožití v okresech a správních obvodech ORP,130140r17,Naděje dožití v okresech a správních obvodech ORP - rok 2017,LKOD,resource#1,{'cs': 'Data za rok 2017'},ds_130140r17.csv,,csv,OK_LKOD,1698.0,15.0,"﻿""idhod"", hodnota, stapro_kod, pohlavi_cis, pohlavi_kod, vek_cis, vek_kod, vuzemi_cis, vuzemi_kod, casref_od, casref_do, stapro_txt, pohlavi_txt, vek_txt, vuzemi_txt","stapro_kod, casref_od, casref_do",2013.0,2017.0,2.0,"2013, 2017",data_columns,roční [R/P1Y],2013-01-01,2017-12-31,Zdraví a sociální služby,úmrtnost a délka života,ORP,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/2ee86c60-4118-3566-393f-af5a57aac200/130140-22dds.htm,heads_csv\117_130140r17_Nadeje_doziti_v_okresech_a_spravnich_obvodech_ORP_-_rok_2017.csv,,"{2017, 2013}",False,"{'vek_kod', 'vek_txt', 'casref_od', 'casref_do', 'vuzemi_cis', 'stapro_kod', 'hodnota', 'vuzemi_kod', 'pohlavi_txt', 'stapro_txt', 'vuzemi_txt', 'vek_cis', 'idhod', 'pohlavi_kod', 'pohlavi_cis'}",True,vuzemi_kod,True,Naděje dožití v okresech a správních obvodech ORP - rok 2017,jádrová pro IKŽ,ORP,False
124,C,Bilance meziokresní vyjížďky do zaměstnání podle výsledků sčítání,170242,Bilance meziokresní vyjížďky do zaměstnání podle výsledků sčítání 2011,LKOD,resource#1,{'cs': 'Bilance meziokresní vyjížďky do zaměstnání podle výsledků sčítání 2011'},ds_170242.csv,,csv,OK_LKOD,5929.0,12.0,"﻿""idhod"", hodnota, stapro_kod, ekonaktiv_cis, ekonaktiv_kod, uzemiz_cis, uzemiz_kod, uzemido_cis, uzemido_kod, datum, uzemiz_txt, uzemido_txt","stapro_kod, datum",2011.0,2011.0,1.0,2011,data_columns,jednorázové / snapshot [NEVER],2011-03-26,2011-03-26,Mobilita a dostupnost,dojížďka do zaměstnání,okres,SLDB 2011 / historické sčítání,https://csu.gov.cz/docs/107516/f4224f10-d886-776f-4913-99fff1d363e5/170242-17dds.htm,heads_csv\124_170242_Bilance_meziokresni_vyjizdky_do_zamestnani_podle_vysledku_scitani_2011.csv,,{2011},False,"{'uzemido_kod', 'uzemido_cis', 'uzemiz_cis', 'stapro_kod', 'hodnota', 'datum', 'uzemiz_txt', 'ekonaktiv_kod', 'uzemido_txt', 'ekonaktiv_cis', 'idhod', 'uzemiz_kod'}",False,,True,Bilance meziokresní vyjížďky do zaměstnání podle výsledků sčítání 2011,podpůrná / kontextová,okres,False
134,C,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,12052,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,měsíční [R/P1M],2006-01-01,2018-12-31,"Práce, příjmy a ekonomika",ceny a životní náklady,kraj,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/31c4adf6-208b-6c2e-049e-e9c26d4bd641/012052-17dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2018, 2006}",False,set(),False,,False,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,podpůrná / kontextová,kraj,False
161,C,Produkce podnikových a komunálních odpadů podle krajů,280040,Produkce podnikových a komunálních odpadů podle krajů,LKOD,resource#1,{'cs': 'Data do roku 2018'},ds_280040.csv,,csv,OK_LKOD,1485.0,12.0,"idhod, hodnota, duvernost, stapro_kod, cznace_cis, cznace_kod, rok, uzemi_cis, uzemi_kod, stapro_txt, cznace_txt, uzemi_txt","stapro_kod, rok",2008.0,2018.0,11.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",data_columns,roční [R/P1Y],2008-01-01,2018-12-31,"Životní prostředí, zemědělství a odpady",odpady,kraj,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/3b160fbc-2258-1d89-3706-1f30a8675cf2/280040-19dds.htm,heads_csv\161_280040_Produkce_podnikovych_a_komunalnich_odpadu_podle_kraju.csv,,"{2016, 2017, 2018, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015}",False,"{'cznace_txt', 'duvernost', 'stapro_kod', 'hodnota', 'uzemi_cis', 'rok', 'cznace_kod', 'cznace_cis', 'uzemi_kod', 'uzemi_txt', 'idhod', 'stapro_txt'}",True,uzemi_kod,True,Produkce podnikových a komunálních odpadů podle krajů,podpůrná / kontextová,kraj,False
