order,priority,rodina_datasetu,dataset_id,dataset_title,source_kind,source_code,source_title,selected_file,selected_sheet,selected_format,status,row_count,column_count,column_names,time_columns,years_min,years_max,years_count,years_sample,years_source,frequency_catalog,start_catalog,end_catalog,hlavni_skupina,detailni_skupina,uzemni_uroven_x,zdroj_typ,page,preview_csv,error,profile_years,has_target_years_profile,head_columns,has_pk_from_head,pk_from_head,profile_ok,title,relevance_pro_IKZ,uzemni_uroven_y,in_final_manifest
90,B,Ekonomické subjekty podle odvětví převažující činnosti za správní obvody Prahy a obcí s rozšířenou působností,140133,Ekonomické subjekty podle odvětví převažující činnosti za správní obvody Prahy a obcí s rozšířenou působností,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,jednorázové / snapshot [NEVER],2010-01-01,2025-12-31,"Práce, příjmy a ekonomika",ekonomické subjekty a podnikatelská struktura,ORP,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/a4b3e19f-9153-f711-27ca-c55e4d3b5c6a/140133-23dds.htm,,"LKOD/VDB selhalo: ('Connection broken: IncompleteRead(717638 bytes read, 12338544 more expected)', IncompleteRead(717638 bytes read, 12338544 more expected)) | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0","{2025, 2010}",False,set(),False,,False,Ekonomické subjekty podle odvětví převažující činnosti za správní obvody Prahy a obcí s rozšířenou působností,jádrová pro IKŽ,ORP,False
121,C,"Cizinci podle státního občanství, věku a pohlaví",290038r25,"Cizinci podle státního občanství, věku a pohlaví - rok 2024",,,,,,,ERROR_SELECTIONS,,,,,,,,,,roční [R/P1Y],2024-01-01,2024-12-31,Demografie a populace,struktura populace a diverzita,okres,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/4711685d-93fa-8eea-ff51-f5c5097a34b5/290038-22dds.htm,,"LKOD/VDB selhalo: HTTP 404 for https://csu.gov.cz/docs/107508/5af1c8d3-dd12-132f-e37c-22664e865ef1/290038-25data2024.zip. Response excerpt: <!DOCTYPE html>
<html lang=""cs"">
	<head>
		<meta charset=""UTF-8"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
		<title>Chyba 404 | Český statistický úřad</title>
		<link rel=""preconnect"" href=""https://fonts.googleapis.com"">
		<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
		<link href=""https://fonts.googleapis.com/css2?family=Roboto:wght@100;300;400;500;700&display=swap"" rel=""stylesheet"">
		<style>
			:root,
			:host {
				--gov-color-primary-10 | DataStat metadata selhala: Request to CZSO API failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",{2024},False,set(),False,,False,"Cizinci podle státního občanství, věku a pohlaví - rok 2024",podpůrná / kontextová,okres,False
128,C,Indexy spotřebitelských cen,10022,Indexy spotřebitelských cen,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,měsíční [R/P1M],1995-01-01,2025-12-31,"Práce, příjmy a ekonomika",ceny a životní náklady,ČR,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/5bc19b9e-1d32-50d4-8b7c-a3bcd4fbf4d2/010022-23dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2025, 1995}",False,set(),False,,False,Indexy spotřebitelských cen,podpůrná / kontextová,ČR,False
129,C,"Indexy tržeb v odvětví dopravy, maloobchodu a služeb",30030,"Indexy tržeb v odvětví dopravy, maloobchodu a služeb",DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,měsíční [R/P1M],2000-01-01,2025-12-31,"Práce, příjmy a ekonomika",makroekonomické a odvětvové indikátory,ČR,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/c7d72e2f-fd33-c318-a2d3-31e0a557b23e/030030-24dds.docx?version=1.0,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2000, 2025}",False,set(),False,,False,"Indexy tržeb v odvětví dopravy, maloobchodu a služeb",podpůrná / kontextová,ČR,False
130,C,Konjunkturální průzkumy,70013,Konjunkturální průzkumy,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,měsíční [R/P1M],2000-01-01,2025-12-31,"Práce, příjmy a ekonomika",makroekonomické a odvětvové indikátory,ČR,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/82607324-dd20-3917-ec74-d1687eb938d8/070013-23dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2000, 2025}",False,set(),False,,False,Konjunkturální průzkumy,podpůrná / kontextová,ČR,False
133,C,Průměrné spotřebitelské ceny pohonných hmot - týdenní šetření,phm_tydny,Průměrné spotřebitelské ceny pohonných hmot - týdenní šetření,LKOD,resource#1,{'cs': 'Data v CSV'},,,,UNSUPPORTED_FORMAT,,,,,,,,,,týdenní [R/P1W],2016-01-01,2024-12-22,"Práce, příjmy a ekonomika",ceny a životní náklady,nespecifikováno / mix,běžná statistika ČSÚ,https://vdb.czso.cz/pll/eweb/cenyphm.dokumentace,,Stažený formát `data` není zatím podporovaný pro automatické profilování.,"{2016, 2024}",False,set(),False,,False,Průměrné spotřebitelské ceny pohonných hmot - týdenní šetření,podpůrná / kontextová,nespecifikováno / mix,False
134,C,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,12052,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,měsíční [R/P1M],2006-01-01,2018-12-31,"Práce, příjmy a ekonomika",ceny a životní náklady,kraj,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/31c4adf6-208b-6c2e-049e-e9c26d4bd641/012052-17dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2018, 2006}",False,set(),False,,False,Průměrné spotřebitelské ceny vybraných výrobků - potravinářské výrobky,podpůrná / kontextová,kraj,False
136,C,Regionální účty za regiony soudržnosti a kraje,50101,Regionální účty za regiony soudržnosti a kraje,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,roční [R/P1Y],1995-01-01,2024-12-31,"Práce, příjmy a ekonomika",národní a regionální účty,kraj,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/2a1d572e-aeaa-8893-cc55-d626cd4c068a/050101-22dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2024, 1995}",False,set(),False,,False,Regionální účty za regiony soudržnosti a kraje,podpůrná / kontextová,kraj,False
145,C,Základní ukazatele národních účtů,50111,Základní ukazatele národních účtů,,,,,,,ERROR_SELECTIONS,,,,,,,,,,roční [R/P1Y],1990-01-01,2024-12-31,"Práce, příjmy a ekonomika",národní a regionální účty,nespecifikováno / mix,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/e83f3f8f-9ce5-07b9-f49d-58df3448cd98/050111-24dds.pdf?version=1.0,,"LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | DataStat metadata selhala: Request to CZSO API failed: HTTPSConnectionPool(host='data.csu.gov.cz', port=443): Max retries exceeded with url: /api/katalog/v1/sady/50111/vybery (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))","{2024, 1990}",False,set(),False,,False,Základní ukazatele národních účtů,podpůrná / kontextová,nespecifikováno / mix,False
147,C,Vybavenost domácností informačními a komunikačními technologiemi,60003,Vybavenost domácností informačními a komunikačními technologiemi,DATASTAT,,,,,,NO_SELECTION,,,,,,,,,,roční [R/P1Y],2007-01-01,2025-12-31,"Vzdělávání, domácnosti a digitální vybavenost",struktura domácností,kraj,běžná statistika ČSÚ,https://csu.gov.cz/docs/107508/4f247a99-efac-10f5-80e8-c8178db50a36/060003-22dds.htm,,LKOD/VDB selhalo: JSON parsing failed. Response excerpt:  | Nebyl nalezen použitelný výběr. Počet nalezených výběrů: 0,"{2025, 2007}",False,set(),False,,False,Vybavenost domácností informačními a komunikačními technologiemi,podpůrná / kontextová,kraj,False
