"idhod","hodnota","stapro_kod","ekakocd_cis","ekakocd_kod","pvdom_cis","pvdom_kod","rok","uzemi_cis","uzemi_kod","stapro_txt","ekakocd_txt","pvdom_txt"
"1433379011","144597","6010",,,,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433369055","150246","6010","221","6",,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433371722","161300","6010","221","5",,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433381169","15703","6010","220","14","213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381144","78411","6010",,,"213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381211","11721","6010","221","11","213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369636","85547","6010","221","11",,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433379346","76906","6010","221","4",,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433377328","134556","6010","220","14",,,"2010","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433388355","31404","6010","221","5","213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433386723","30718","6010","221","4","213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433392148","122525","6010","221","6","213","14","2010","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433379013","147456","6010",,,,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433369057","154103","6010","221","6",,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433371724","157303","6010","221","5",,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433373490","139316","6010","220","14",,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433381170","13809","6010","220","14","213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381145","79863","6010",,,"213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381212","14889","6010","221","11","213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384312","127238","6010","221","6","213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433367917","80638","6010","221","4",,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433369638","87702","6010","221","11",,,"2011","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433388356","31216","6010","221","5","213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433386724","32074","6010","221","4","213","14","2011","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433379015","149737","6010",,,,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433371726","162393","6010","221","5",,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433378000","141567","6010","220","14",,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433381171","14097","6010","220","14","213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381146","81197","6010",,,"213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381213","14211","6010","221","11","213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384313","128396","6010","221","6","213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370584","155530","6010","221","6",,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433386611","25660","6010","221","4","213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370384","102926","6010","221","11",,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433369439","73583","6010","221","4",,,"2012","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433388357","34474","6010","221","5","213","14","2012","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433379017","153269","6010",,,,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433381172","14455","6010","220","14","213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433379689","161089","6010","221","6",,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433381214","10115","6010","221","11","213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384314","134228","6010","221","6","213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433368712","74692","6010","221","4",,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433386612","25422","6010","221","4","213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370386","97329","6010","221","11",,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433388358","34339","6010","221","5","213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433381106","83574","6010",,,"213","14","2013","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433376325","170328","6010","221","5",,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433373516","142779","6010","220","14",,,"2013","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433381173","15485","6010","220","14","213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433379691","166405","6010","221","6",,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433381215","12803","6010","221","11","213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433368714","76655","6010","221","4",,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433386613","22116","6010","221","4","213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370388","103733","6010","221","11",,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433373726","157623","6010",,,,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433388359","35309","6010","221","5","213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384315","139729","6010","221","6","213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433376327","172452","6010","221","5",,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433381107","87205","6010",,,"213","14","2014","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433373518","145911","6010","220","14",,,"2014","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433375265","164852","6010",,,,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433379693","172988","6010","221","6",,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433389068","38575","6010","221","5","213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369662","102838","6010","221","11",,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433386614","19955","6010","221","4","213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384217","14596","6010","220","14","213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384254","12650","6010","221","11","213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370213","78562","6010","221","4",,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433377384","150497","6010","220","14",,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433384316","145309","6010","221","6","213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433376329","185846","6010","221","5",,,"2015","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433381108","90988","6010",,,"213","14","2015","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433375267","172173","6010",,,,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433378021","154511","6010","220","14",,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433379695","179756","6010","221","6",,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433387558","15242","6010","220","14","213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433391914","27006","6010","221","4","213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388238","7551","6010","221","11","213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390600","151194","6010","221","6","213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369664","112308","6010","221","11",,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433384249","43219","6010","221","5","213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433368687","193972","6010","221","5",,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433370215","84505","6010","221","4",,,"2016","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433381109","96474","6010",,,"213","14","2016","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433378953","203301","6010","221","6",,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433373544","168935","6010","220","14",,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433369902","195071","6010",,,,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433388271","18094","6010","220","14","213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433391916","35377","6010","221","4","213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388240","19673","6010","221","11","213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390602","173130","6010","221","6","213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384251","47722","6010","221","5","213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370219","101647","6010","221","4",,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433371134","115723","6010","221","11",,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433370188","222208","6010","221","5",,,"2018","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433382645","112107","6010",,,"213","14","2018","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433378955","218961","6010","221","6",,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433390603","185703","6010","221","6","213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388272","19276","6010","220","14","213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433368933","120322","6010","221","11",,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433370652","209754","6010",,,,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433391917","30475","6010","221","4","213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388241","22512","6010","221","11","213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384252","51132","6010","221","5","213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370190","237132","6010","221","5",,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433382646","120555","6010",,,"213","14","2019","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370985","93353","6010","221","4",,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433373550","182065","6010","220","14",,,"2019","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433378023","161033","6010","220","14",,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433378951","191391","6010","221","6",,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433375269","182443","6010",,,,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433388270","16835","6010","220","14","213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433391915","32312","6010","221","4","213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388239","13383","6010","221","11","213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390601","161302","6010","221","6","213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369666","102704","6010","221","11",,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433384250","44990","6010","221","5","213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433368689","203314","6010","221","5",,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433370217","92308","6010","221","4",,,"2017","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433381110","103848","6010",,,"213","14","2017","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388273","21117","6010","220","14","213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390651","26137","6010","221","4","213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370654","220106","6010",,,,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433391911","192297","6010","221","6","213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369676","117201","6010","221","11",,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433375959","227469","6010","221","6",,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433388242","17710","6010","221","11","213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433384253","53520","6010","221","5","213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433375554","252238","6010","221","5",,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433382647","123346","6010",,,"213","14","2020","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433370987","97434","6010","221","4",,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433372781","199219","6010","220","14",,,"2020","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
"1433388274","21921","6010","220","14","213","14","2021","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390652","42866","6010","221","4","213","14","2021","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433387319","139482","6010",,,"213","14","2021","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
