dataset_id,rodina_datasetu,verzi_v_rodine,title,hlavni_skupina,detailni_skupina,tagy,relevance_pro_IKZ,uzemni_uroven,zdroj_typ,periodicita_text,provider,modified,start,end,description,keywords_all,page,dataset_iri,spatial,periodicity,dataset_title,relevance_rank,_input_order,category,order
200068,Dokončené byty v obcích,1,Dokončené byty v obcích,Bydlení a technická infrastruktura,bytová výstavba a stavebnictví,bydlení,jádrová pro IKŽ,obec,běžná statistika ČSÚ,roční,Český statistický úřad,2025-09-08,1997-01-01,2024-12-31,Datová sada obsahuje časovou řadu statistických údajů o počtu dokončených bytů v obcích České republiky od roku 1997.  Uvedeny jsou i údaje o počtu dokončených bytů v rodinných domcích a bytových domech.,"byt, dokončený byt, rodinný dům, bytový dům, bytová výstavba",https://csu.gov.cz/docs/107508/b8162c4b-9666-eb7a-9712-81190103364d/200068-22dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Dokoncene_byty_v_obcich,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Dokončené byty v obcích,0,1,A,1
130149,Obyvatelstvo podle pohlaví a základních věkových skupin,1,Obyvatelstvo podle pohlaví a základních věkových skupin,Demografie a populace,věková a pohlavní struktura populace,demografie,jádrová pro IKŽ,více úrovní (ČR–kraj–okres–ORP–obec),běžná statistika ČSÚ,roční,Český statistický úřad,2025-05-20,2000-01-01,2024-12-31,"Datová sada obsahuje časovou řadu se statistickými údaji od roku 2000 o počtu mužů a žen s trvalým nebo dlouhodobým pobytem, a to podle stavu k 31. 12. Údaje jsou publikovány za ČR, regiony soudržnosti, kraje, okresy, správní obvody obcí s rozšířenou působností (SO ORP) a obce.","počet obyvatel, stav obyvatel, populace, pohlaví",https://csu.gov.cz/docs/107508/3de428e4-62ea-3867-4a30-89791ea35f99/130149-23dds.docx?version=1.0,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Obyvatelstvo_k_31_12_podle_pohlavi_v_obcich,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Obyvatelstvo podle pohlaví a základních věkových skupin,0,76,A,2
270228,Osevní plochy zemědělských plodin podle krajů,1,Osevní plochy zemědělských plodin podle krajů,"Životní prostředí, zemědělství a odpady",zemědělství a lesnictví,zemědělství,podpůrná / kontextová,kraj,běžná statistika ČSÚ,roční,Český statistický úřad,2025-07-04,2014-01-01,2025-12-31,Datová sada obsahuje časovou řadu s údaji o osevních plochách zemědělských plodin v krajích České republiky od roku 2014.,"Osevní plocha, zemědělská plodina, plodina, osev",https://csu.gov.cz/docs/107508/dc16980f-c030-9da8-d4f5-73c5fc112061/270228-22dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Osevni_plochy_zemedelskych_plodin_podle_kraju,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Osevní plochy zemědělských plodin podle krajů,1,261,A,3
260017,Pracovní neschopnost pro nemoc a úraz podle okresů a krajů,1,Pracovní neschopnost pro nemoc a úraz podle okresů a krajů,Zdraví a sociální služby,pracovní neschopnost,zdraví,podpůrná / kontextová,více úrovní (ČR–kraj–okres),běžná statistika ČSÚ,roční,Český statistický úřad,2025-11-02,2006-01-01,2025-06-30,Datová sada obsahuje časovou řadu s údaji o dočasné pracovní neschopnosti v okresech a krajích České republiky od roku 2006.,"Pracovní neschopnost, délka trvání pracovní neschopnosti, nemoc a úraz",https://csu.gov.cz/docs/107508/fc146a4a-7550-91f3-1208-a3f9a7d0158c/260017-25dds.htm?version=1.0,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Pracovni_neschopnost_pro_nemoc_a_uraz_podle_okresu_a_kraju,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Pracovní neschopnost pro nemoc a úraz podle okresů a krajů,1,255,A,4
200077,Stavební povolení,1,Stavební povolení,Bydlení a technická infrastruktura,bytová výstavba a stavebnictví,,podpůrná / kontextová,kraj,běžná statistika ČSÚ,měsíční,Český statistický úřad,2026-02-06,2005-01-01,2025-12-31,"Datová sada obsahuje časovou řadu se statistickými údaji o stavebních povoleních podle krajů České republiky od roku 2005. K dispozici jsou údaje za stavby celkem, budovy, stavby na ochranu životního prostředí a ostatní typy staveb.","Stavební povolení, orientační hodnota, počet stavebních povolení",https://csu.gov.cz/docs/107508/130319fd-bc2c-2008-7e4c-e26b183057ce/200077-23dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Stavebni_povoleni,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1M,Stavební povolení,1,198,A,5
270243,Výroba masa na jatkách,1,Výroba masa na jatkách,"Životní prostředí, zemědělství a odpady",zemědělství a lesnictví,zemědělství,podpůrná / kontextová,ČR,běžná statistika ČSÚ,měsíční,Český statistický úřad,2026-02-02,2014-01-01,2025-12-31,Datová sada obsahuje údaje o výrobě masa na jatkách v České republice v měsíční časové řadě od ledna 2014.,"Výroba masa, jatka, porážky zvířat",https://csu.gov.cz/docs/107508/c305b798-c84c-62ae-a8b3-6396902c00d6/270243-25dds.docx?version=1.0,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Vyroba_masa_na_jatkach,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1M,Výroba masa na jatkách,1,266,A,6
250180,Zaměstnaní a nezaměstnaní podle výsledků výběrového šetření pracovních sil za kraje,1,Zaměstnaní a nezaměstnaní podle výsledků výběrového šetření pracovních sil za kraje,"Práce, příjmy a ekonomika",nezaměstnanost,zaměstnanost,podpůrná / kontextová,kraj,běžná statistika ČSÚ,čtvrtletní,Český statistický úřad,2025-12-30,1993-01-01,2025-09-30,"Datové sada obsahuje časovou řadu se základními údaji výběrového šetření pracovních sil (VŠPS) od roku 1993 za kraje České republiky. Obsaženy jsou údaje o počtu zaměstnaných, nezaměstnaných, míře ekonomické aktivity, míře nezaměstnanosti včetně údajů podle pohlaví.","Zaměstnaní, nezaměstnaní, míra ekonomické aktivity, míra nezaměstnanosti, zaměstnanost, nezaměstnanost, pracovní síla",https://csu.gov.cz/docs/107508/6b88a085-ac3f-0def-9833-39b0168d92d2/250180-23dds.docx?version=1.0,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Zamestnani_a_nezamestnani_podle_vysledku_vyberoveho_setreni_pracovnich_sil_za_kraje,https://linked.cuzk.cz/resource/ruian/ST/1,R/P3M,Zaměstnaní a nezaměstnaní podle výsledků výběrového šetření pracovních sil za kraje,1,232,A,7
230057,Školy a školská zařízení,1,Školy a školská zařízení,"Vzdělávání, domácnosti a digitální vybavenost",školy a školská infrastruktura,vzdělávání,podpůrná / kontextová,kraj,běžná statistika ČSÚ,roční,Český statistický úřad,2025-10-22,2006-09-01,2025-08-31,"Datová sada obsahuje časovou řadu s počtem školských zařízení různých typů, počtem žáků, studentů a tříd, a to za kraje České republiky od roku 2006.","Školy, třídy, žáci, studenti, předškolní vzdělávání, základní vzdělávání, střední vzdělávání, vyšší odborné vzdělávání, vysokoškolské vzdělávání, vzdělávání",https://csu.gov.cz/docs/107508/f7249bd5-9284-14c2-51d4-1238b7b139a0/230057-22dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Skoly_a_skolska_zarizeni,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Školy a školská zařízení,1,249,A,8
270230,Hospodářská zvířata podle krajů,1,Hospodářská zvířata podle krajů,"Životní prostředí, zemědělství a odpady",zemědělství a lesnictví,zemědělství,podpůrná / kontextová,kraj,běžná statistika ČSÚ,roční,Český statistický úřad,2025-02-28,2002-01-01,2024-12-31,Datová sada obsahuje časovou řadu s údaji o stavech hospodářských zvířat v krajích České republiky od roku 2002.,"Počet zvířat, stav zvířat, hospodářská zvířata, druh hospodářského zvířete",https://csu.gov.cz/docs/107508/4793eb3e-331e-6906-3802-7b0860b173e3/270230-22dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Hospodarska_zvirata_podle_kraju,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Hospodářská zvířata podle krajů,1,259,A,9
280041,Náklady na ochranu životního prostředí a ekonomický přínos těchto aktivit,1,Náklady na ochranu životního prostředí a ekonomický přínos těchto aktivit,"Životní prostředí, zemědělství a odpady",ochrana životního prostředí,životní prostředí,podpůrná / kontextová,kraj,běžná statistika ČSÚ,roční,Český statistický úřad,2025-09-30,2006-01-01,2024-12-31,Datová sada obsahuje časovou řadu s údaji o nákladech na ochranu životního prostředí a ekonomického přínosu těchto aktivit v krajích České republiky od roku 2006.,"Ochrana ovzduší a klimatu,  odpadní vody, odpady, ochrana půdy, ochrana krajiny, ochrana proti záření, ochrana životního prostředí",https://csu.gov.cz/docs/107508/4917179e-229c-ae94-f7ce-d882b5366aaf/280041-22dds.htm,https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Naklady_na_ochranu_zivotniho_prostredi_a_ekonomicky_prinos_techto_aktivit,https://linked.cuzk.cz/resource/ruian/ST/1,R/P1Y,Náklady na ochranu životního prostředí a ekonomický přínos těchto aktivit,1,260,A,10
