kod_obce,obec,okres,orp,kraj,population,size_category
529303,Benešov,Benešov,BENEŠOV,,17010,15000–39999
532568,Bernartice,Benešov,VLAŠIM,,223,0–750
532380,Blažejovice,Benešov,VLAŠIM,,102,0–750
532096,Borovnice,Benešov,VLAŠIM,,84,0–750
532924,Bukovany,Benešov,BENEŠOV,,807,751–1999
529451,Bystřice,Benešov,BENEŠOV,,4698,2000–4999
530743,Bílkovice,Benešov,VLAŠIM,,217,0–750
532878,Chleby,Benešov,BENEŠOV,,49,0–750
529770,Chlum,Benešov,VLAŠIM,,122,0–750
532045,Chlístov,Benešov,BENEŠOV,,468,0–750
529788,Chmelná,Benešov,VLAŠIM,,159,0–750
529796,Chocerady,Benešov,BENEŠOV,,1359,751–1999
532606,Choratice,Benešov,BENEŠOV,,64,0–750
529818,Chotýšany,Benešov,BENEŠOV,,685,0–750
532037,Chrášťany,Benešov,BENEŠOV,,255,0–750
532886,Chářovice,Benešov,BENEŠOV,,222,0–750
532690,Ctiboř,Benešov,VLAŠIM,,171,0–750
529621,Divišov,Benešov,BENEŠOV,,1822,751–1999
529648,Dolní Kralovice,Benešov,VLAŠIM,,911,751–1999
532151,Drahňovice,Benešov,BENEŠOV,,114,0–750
532843,Dunice,Benešov,VLAŠIM,,66,0–750
532746,Děkanovice,Benešov,VLAŠIM,,61,0–750
529702,Heřmaničky,Benešov,VOTICE,,749,0–750
532932,Hradiště,Benešov,VLAŠIM,,32,0–750
529737,Hulice,Benešov,VLAŠIM,,280,0–750
529745,Hvězdonice,Benešov,BENEŠOV,,341,0–750
529842,Jankov,Benešov,VOTICE,,911,751–1999
529851,Javorník,Benešov,VLAŠIM,,144,0–750
532134,Ješetice,Benešov,VOTICE,,122,0–750
531031,Kamberk,Benešov,VLAŠIM,,170,0–750
529907,Keblov,Benešov,VLAŠIM,,188,0–750
533084,Kladruby,Benešov,VLAŠIM,,289,0–750
529931,Kondrac,Benešov,VLAŠIM,,534,0–750
529940,Kozmice,Benešov,BENEŠOV,,428,0–750
529958,Krhanice,Benešov,BENEŠOV,,1120,751–1999
529974,Krňany,Benešov,BENEŠOV,,505,0–750
530026,Kuňovice,Benešov,VLAŠIM,,84,0–750
529991,Křečovice,Benešov,BENEŠOV,,819,751–1999
530000,Křivsoudov,Benešov,VLAŠIM,,469,0–750
530051,Lešany,Benešov,BENEŠOV,,900,751–1999
530069,Libež,Benešov,VLAŠIM,,276,0–750
532258,Litichovice,Benešov,BENEŠOV,,73,0–750
530093,Loket,Benešov,VLAŠIM,,609,0–750
530107,Louňovice pod Blaníkem,Benešov,VLAŠIM,,660,0–750
532193,Lštění,Benešov,BENEŠOV,,524,0–750
530115,Maršovice,Benešov,BENEŠOV,,787,751–1999
530158,Mezno,Benešov,VOTICE,,383,0–750
530166,Miličín,Benešov,VOTICE,,880,751–1999
530174,Miřetice,Benešov,VLAŠIM,,239,0–750
530191,Mnichovice,Benešov,VLAŠIM,,219,0–750
530204,Mrač,Benešov,BENEŠOV,,874,751–1999
530212,Načeradec,Benešov,VLAŠIM,,1121,751–1999
530263,Nespeky,Benešov,BENEŠOV,,810,751–1999
530298,Netvořice,Benešov,BENEŠOV,,1192,751–1999
530301,Neustupov,Benešov,VOTICE,,552,0–750
530310,Neveklov,Benešov,BENEŠOV,,2779,2000–4999
530344,Olbramovice,Benešov,VOTICE,,1404,751–1999
599395,Ostrov,Benešov,VLAŠIM,,72,0–750
530352,Ostředek,Benešov,BENEŠOV,,470,0–750
533076,Pavlovice,Benešov,VLAŠIM,,270,0–750
530409,Petroupim,Benešov,BENEŠOV,,380,0–750
532649,Popovice,Benešov,BENEŠOV,,289,0–750
530450,Postupice,Benešov,BENEŠOV,,1454,751–1999
530441,Poříčí nad Sázavou,Benešov,BENEŠOV,,1652,751–1999
530476,Pravonín,Benešov,VLAŠIM,,573,0–750
530514,Psáře,Benešov,VLAŠIM,,142,0–750
538680,Pyšely,Benešov,BENEŠOV,,2275,2000–4999
530492,Přestavlky u Čerčan,Benešov,BENEŠOV,,436,0–750
530522,Rabyně,Benešov,BENEŠOV,,293,0–750
530531,Radošovice,Benešov,VLAŠIM,,405,0–750
530549,Rataje,Benešov,VLAŠIM,,169,0–750
532550,Ratměřice,Benešov,VOTICE,,313,0–750
532231,Slověnice,Benešov,VLAŠIM,,49,0–750
530611,Smilkov,Benešov,VOTICE,,258,0–750
532436,Snět,Benešov,VLAŠIM,,93,0–750
530638,Soběhrdy,Benešov,BENEŠOV,,457,0–750
599387,Soutice,Benešov,VLAŠIM,,272,0–750
599379,Stranný,Benešov,BENEŠOV,,123,0–750
599361,Strojetice,Benešov,VLAŠIM,,140,0–750
