kod_obce,obec,okres,orp,kraj,population,size_category,migration_balance_per_1000,natural_increase,unemployment_rate,completed_flats_per_1000,ecological_stability_coef
529303,Benešov,Benešov,BENEŠOV,,17010.0,15000–39999,2.998236331569665,-43.0,2.2757,5.232216343327455,0.8284
532568,Bernartice,Benešov,VLAŠIM,,223.0,0–750,-31.390134529147982,0.0,2.2727,4.484304932735426,1.5802
532380,Blažejovice,Benešov,VLAŠIM,,102.0,0–750,9.803921568627452,0.0,1.7544,0.0,0.7453
532096,Borovnice,Benešov,VLAŠIM,,84.0,0–750,35.714285714285715,-1.0,,23.809523809523807,0.4582
532924,Bukovany,Benešov,BENEŠOV,,807.0,751–1999,9.913258983890954,-3.0,3.5019,2.4783147459727384,0.4331
529451,Bystřice,Benešov,BENEŠOV,,4698.0,2000–4999,5.321413367390379,-13.0,1.8623,2.554278416347382,0.4972
530743,Bílkovice,Benešov,VLAŠIM,,217.0,0–750,50.69124423963134,-3.0,1.6529,4.608294930875576,0.6421
532878,Chleby,Benešov,BENEŠOV,,49.0,0–750,0.0,0.0,7.6923,0.0,1.5177
529770,Chlum,Benešov,VLAŠIM,,122.0,0–750,0.0,-2.0,2.2989,0.0,0.4446
532045,Chlístov,Benešov,BENEŠOV,,468.0,0–750,-2.136752136752137,-1.0,1.3514,4.273504273504274,0.6469
529788,Chmelná,Benešov,VLAŠIM,,159.0,0–750,50.314465408805034,3.0,2.1505,25.157232704402517,0.3275
529796,Chocerady,Benešov,BENEŠOV,,1359.0,751–1999,11.037527593818986,7.0,2.0142,11.77336276674025,1.6727
532606,Choratice,Benešov,BENEŠOV,,64.0,0–750,0.0,-1.0,,0.0,1.5984
529818,Chotýšany,Benešov,BENEŠOV,,685.0,0–750,-8.75912408759124,2.0,2.5,2.9197080291970803,1.0316
532037,Chrášťany,Benešov,BENEŠOV,,255.0,0–750,0.0,-1.0,2.381,7.8431372549019605,1.1633
532886,Chářovice,Benešov,BENEŠOV,,222.0,0–750,31.531531531531527,2.0,2.8169,9.00900900900901,0.5366
532690,Ctiboř,Benešov,VLAŠIM,,171.0,0–750,40.93567251461988,2.0,0.9804,5.847953216374268,0.3492
529621,Divišov,Benešov,BENEŠOV,,1822.0,751–1999,15.367727771679473,-7.0,1.8733,5.488474204171241,0.7102
529648,Dolní Kralovice,Benešov,VLAŠIM,,911.0,751–1999,15.367727771679473,-6.0,2.3853,8.781558726673985,0.8383
532151,Drahňovice,Benešov,BENEŠOV,,114.0,0–750,-52.63157894736842,2.0,1.4286,0.0,4.1704
532843,Dunice,Benešov,VLAŠIM,,66.0,0–750,0.0,-1.0,2.7027,0.0,0.6135
532746,Děkanovice,Benešov,VLAŠIM,,61.0,0–750,65.57377049180329,-1.0,6.0606,0.0,0.9671
529702,Heřmaničky,Benešov,VOTICE,,749.0,0–750,-9.345794392523365,-5.0,2.0362,2.67022696929239,0.5929
532932,Hradiště,Benešov,VLAŠIM,,32.0,0–750,125.0,0.0,4.7619,31.25,0.8978
529737,Hulice,Benešov,VLAŠIM,,280.0,0–750,-3.571428571428571,-4.0,4.8193,7.142857142857142,1.0908
529745,Hvězdonice,Benešov,BENEŠOV,,341.0,0–750,14.66275659824047,-3.0,3.3019,0.0,0.5518
