kod_obce,obec,okres,orp,kraj,population,size_category,migration_balance_per_1000_score,natural_increase_score,unemployment_rate_score,completed_flats_per_1000_score,ecological_stability_coef_score
529303,Benešov,Benešov,BENEŠOV,,17010.0,15000–39999,46.34,0.0,83.49,45.71,11.53
532568,Bernartice,Benešov,VLAŠIM,,223.0,0–750,2.46,81.82,83.54,39.17,23.17
532380,Blažejovice,Benešov,VLAŠIM,,102.0,0–750,55.02,81.82,91.58,0.0,10.24
532096,Borovnice,Benešov,VLAŠIM,,84.0,0–750,88.08,77.27,,100.0,5.8
532924,Bukovany,Benešov,BENEŠOV,,807.0,751–1999,55.16,68.18,64.46,21.65,5.41
529451,Bystřice,Benešov,BENEŠOV,,4698.0,2000–4999,49.3,22.73,89.91,22.31,6.4
530743,Bílkovice,Benešov,VLAŠIM,,217.0,0–750,100.0,68.18,93.16,40.26,8.64
532878,Chleby,Benešov,BENEŠOV,,49.0,0–750,42.52,81.82,0.0,0.0,22.21
529770,Chlum,Benešov,VLAŠIM,,122.0,0–750,42.52,72.73,83.13,0.0,5.58
532045,Chlístov,Benešov,BENEŠOV,,468.0,0–750,39.79,77.27,97.84,37.33,8.72
529788,Chmelná,Benešov,VLAŠIM,,159.0,0–750,100.0,95.45,85.43,100.0,3.77
529796,Chocerady,Benešov,BENEŠOV,,1359.0,751–1999,56.6,100.0,87.55,100.0,24.61
532606,Choratice,Benešov,BENEŠOV,,64.0,0–750,42.52,77.27,,0.0,23.46
529818,Chotýšany,Benešov,BENEŠOV,,685.0,0–750,31.34,90.91,80.01,25.51,14.68
532037,Chrášťany,Benešov,BENEŠOV,,255.0,0–750,42.52,77.27,81.86,68.51,16.72
532886,Chářovice,Benešov,BENEŠOV,,222.0,0–750,82.75,90.91,75.09,78.7,7.01
532690,Ctiboř,Benešov,VLAŠIM,,171.0,0–750,94.75,90.91,100.0,51.09,4.11
529621,Divišov,Benešov,BENEŠOV,,1822.0,751–1999,62.12,50.0,89.74,47.95,9.7
529648,Dolní Kralovice,Benešov,VLAŠIM,,911.0,751–1999,62.12,54.55,81.79,76.71,11.68
532151,Drahňovice,Benešov,BENEŠOV,,114.0,0–750,0.0,90.91,96.64,0.0,63.3
532843,Dunice,Benešov,VLAŠIM,,66.0,0–750,42.52,77.27,76.86,0.0,8.2
532746,Děkanovice,Benešov,VLAŠIM,,61.0,0–750,100.0,77.27,24.74,0.0,13.68
529702,Heřmaničky,Benešov,VOTICE,,749.0,0–750,30.59,59.09,87.21,23.33,7.88
532932,Hradiště,Benešov,VLAŠIM,,32.0,0–750,100.0,81.82,44.9,100.0,12.6
529737,Hulice,Benešov,VLAŠIM,,280.0,0–750,37.96,63.64,44.01,62.4,15.59
529745,Hvězdonice,Benešov,BENEŠOV,,341.0,0–750,61.22,68.18,67.56,0.0,7.25
529842,Jankov,Benešov,VOTICE,,911.0,751–1999,49.52,50.0,97.84,38.36,8.68
529851,Javorník,Benešov,VLAŠIM,,144.0,0–750,69.1,95.45,100.0,60.66,23.8
532134,Ješetice,Benešov,VOTICE,,122.0,0–750,21.6,81.82,98.12,0.0,9.93
531031,Kamberk,Benešov,VLAŠIM,,170.0,0–750,100.0,81.82,83.93,0.0,6.46
529907,Keblov,Benešov,VLAŠIM,,188.0,0–750,49.3,77.27,68.74,46.47,16.7
533084,Kladruby,Benešov,VLAŠIM,,289.0,0–750,73.42,81.82,81.86,90.68,8.67
529931,Kondrac,Benešov,VLAŠIM,,534.0,0–750,44.9,86.36,91.01,16.36,7.87
529940,Kozmice,Benešov,BENEŠOV,,428.0,0–750,33.57,100.0,90.39,100.0,11.54
529958,Krhanice,Benešov,BENEŠOV,,1120.0,751–1999,68.72,77.27,92.51,54.6,54.17
529974,Krňany,Benešov,BENEŠOV,,505.0,0–750,67.78,68.18,79.52,17.3,64.48
530026,Kuňovice,Benešov,VLAŠIM,,84.0,0–750,42.52,77.27,,0.0,4.92
529991,Křečovice,Benešov,BENEŠOV,,819.0,751–1999,30.05,59.09,95.39,0.0,12.61
530000,Křivsoudov,Benešov,VLAŠIM,,469.0,0–750,100.0,77.27,91.0,18.63,10.26
530051,Lešany,Benešov,BENEŠOV,,900.0,751–1999,17.0,90.91,72.27,58.24,13.47
530069,Libež,Benešov,VLAŠIM,,276.0,0–750,100.0,95.45,55.27,100.0,14.79
532258,Litichovice,Benešov,BENEŠOV,,73.0,0–750,94.95,77.27,41.2,0.0,7.16
530093,Loket,Benešov,VLAŠIM,,609.0,0–750,61.37,72.73,100.0,71.72,11.36
530107,Louňovice pod Blaníkem,Benešov,VLAŠIM,,660.0,0–750,56.05,68.18,64.71,0.0,19.63
532193,Lštění,Benešov,BENEŠOV,,524.0,0–750,100.0,59.09,28.07,33.34,29.59
530115,Maršovice,Benešov,BENEŠOV,,787.0,751–1999,44.14,72.73,96.22,11.1,5.8
530158,Mezno,Benešov,VOTICE,,383.0,0–750,52.51,63.64,72.38,0.0,9.14
530166,Miličín,Benešov,VOTICE,,880.0,751–1999,68.61,86.36,80.08,29.78,6.09
530174,Miřetice,Benešov,VLAŠIM,,239.0,0–750,85.22,90.91,75.7,36.55,4.47
530191,Mnichovice,Benešov,VLAŠIM,,219.0,0–750,7.56,77.27,100.0,0.0,13.85
530204,Mrač,Benešov,BENEŠOV,,874.0,751–1999,35.22,86.36,84.32,19.99,10.78
530212,Načeradec,Benešov,VLAŠIM,,1121.0,751–1999,48.21,77.27,65.84,15.59,10.92
530263,Nespeky,Benešov,BENEŠOV,,810.0,751–1999,55.12,68.18,82.72,32.35,20.46
530298,Netvořice,Benešov,BENEŠOV,,1192.0,751–1999,55.36,63.64,93.68,51.3,9.21
530301,Neustupov,Benešov,VOTICE,,552.0,0–750,58.7,77.27,64.51,15.83,9.21
530310,Neveklov,Benešov,BENEŠOV,,2779.0,2000–4999,47.11,13.64,88.76,18.86,12.55
530344,Olbramovice,Benešov,VOTICE,,1404.0,751–1999,17.07,100.0,79.06,31.11,9.72
599395,Ostrov,Benešov,VLAŠIM,,72.0,0–750,7.07,90.91,54.14,0.0,8.5
530352,Ostředek,Benešov,BENEŠOV,,470.0,0–750,28.94,90.91,92.94,37.17,15.78
533076,Pavlovice,Benešov,VLAŠIM,,270.0,0–750,99.22,72.73,63.04,100.0,8.99
530409,Petroupim,Benešov,BENEŠOV,,380.0,0–750,49.23,81.82,85.79,0.0,10.63
532649,Popovice,Benešov,BENEŠOV,,289.0,0–750,86.66,81.82,93.51,0.0,16.73
530450,Postupice,Benešov,BENEŠOV,,1454.0,751–1999,51.29,72.73,85.93,30.04,14.29
530441,Poříčí nad Sázavou,Benešov,BENEŠOV,,1652.0,751–1999,59.51,68.18,79.73,5.29,7.0
530476,Pravonín,Benešov,VLAŠIM,,573.0,0–750,64.78,63.64,97.72,76.23,8.83
530514,Psáře,Benešov,VLAŠIM,,142.0,0–750,87.44,77.27,83.54,61.52,15.92
538680,Pyšely,Benešov,BENEŠOV,,2275.0,2000–4999,78.41,100.0,95.12,38.4,13.61
530492,Přestavlky u Čerčan,Benešov,BENEŠOV,,436.0,0–750,77.63,68.18,66.88,20.04,9.15
530522,Rabyně,Benešov,BENEŠOV,,293.0,0–750,51.22,81.82,83.33,29.81,29.55
530531,Radošovice,Benešov,VLAŠIM,,405.0,0–750,64.57,68.18,56.72,86.28,10.3
530549,Rataje,Benešov,VLAŠIM,,169.0,0–750,95.36,72.73,88.96,51.69,6.36
532550,Ratměřice,Benešov,VOTICE,,313.0,0–750,71.05,77.27,42.35,55.82,8.47
532231,Slověnice,Benešov,VLAŠIM,,49.0,0–750,68.55,77.27,,0.0,16.68
530611,Smilkov,Benešov,VOTICE,,258.0,0–750,42.52,63.64,55.02,0.0,14.95
532436,Snět,Benešov,VLAŠIM,,93.0,0–750,0.0,77.27,,0.0,13.2
530638,Soběhrdy,Benešov,BENEŠOV,,457.0,0–750,81.6,86.36,85.43,57.35,9.58
599387,Soutice,Benešov,VLAŠIM,,272.0,0–750,65.97,54.55,70.0,64.23,7.27
599379,Stranný,Benešov,BENEŠOV,,123.0,0–750,11.4,81.82,99.17,71.02,11.72
599361,Strojetice,Benešov,VLAŠIM,,140.0,0–750,6.06,77.27,66.49,0.0,9.94
530689,Struhařov,Benešov,BENEŠOV,,1001.0,751–1999,69.28,77.27,86.37,26.18,6.25
530719,Studený,Benešov,VLAŠIM,,102.0,0–750,100.0,77.27,0.0,0.0,5.99
530701,Střezimíř,Benešov,VOTICE,,314.0,0–750,30.32,68.18,86.48,0.0,9.03
